"Region","Catchment","Transect","Transectcode","UTM_X","UTM_Y","LU_FT_Code","AGB_Trees10","carbon_stock","non_zero","Longitude","Latitude","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","propertysize","SFAgepx","SFls","TSDls","UPFpx"
"PGM","342",11,"342_11",147605.11,9636499.54,"SFinter","114.18",57.09,1,-48.1704374910234,-3.28361018269408,96017.8359375,705.882202148438,223.762344360352,0,247.609161376953,0.151836737990379,1,59.3031044006348,144.318496704102,191.790084838867,0.964897930622101,11585.8486328125,12.6666669845581,0.84408164024353,68.590202331543,0
"PGM","342",12,"342_12",149306.72,9633946.66,"SFold","183.15",91.575,1,-48.1552167623227,-3.30671952844179,95305.8515625,1408.34118652344,2075.16552734375,0,504.000457763672,0.131428569555283,0,94.0536422729492,143.20068359375,191.993576049805,0.997551023960114,11585.8486328125,23.4444446563721,0.488163262605667,166.243270874023,0
"PGM","342",2,"342_2",145992.72,9635407.88,"PFlog","192.79",96.395,1,-48.1849601542515,-3.29342477345345,97896.46875,1659.15698242188,1631.34936523438,0,34.7668495178223,0.159999996423721,0,110,144.484497070312,191.834243774414,0.890612244606018,11585.8486328125,1.33333337306976,0.109387755393982,270.027740478516,0.666666686534882
"PGM","342",3,"342_3",145697.17,9633769.93,"PFlog","107.69",53.845,1,-48.1876636185433,-3.30821170828854,98727.890625,1697.18627929688,2377.07348632812,0,130.068176269531,0.217142850160599,0,118.444732666016,144.259216308594,191.979232788086,0.972244918346405,11585.8486328125,0,0.0351020395755768,290.382049560547,1
"PGM","342",4,"342_4",151430.31,9636713.12,"PFlog","246.68",123.34,1,-48.1360516886569,-3.28178987228917,92356.8125,2464.15576171875,131.25569152832,0,637.566040039062,0.100408166646957,0,92.3706283569336,143.61051940918,192.198577880859,1,11585.8486328125,7.11111116409302,0.0179591830819845,295.079193115234,0.555555582046509
"PGM","342",5,"342_5",151357.12,9638323.6,"PFlog","214.36",107.18,1,-48.1366641992676,-3.26723973246348,91888.6171875,2196.44702148438,186.607604980469,0,245.819107055664,0.306938767433167,1,109.753974914551,144.092361450195,192.109832763672,0.986938774585724,11585.8486328125,0,0.0293877553194761,291.94775390625,1
"PGM","342",6,"342_6",149592.33,9638774.9,"PFlog","201.36",100.68,1,-48.1525127656144,-3.2631131161785,93426.8828125,399.355804443359,1923.97180175781,0,291.474304199219,0.172244891524315,0.555555582046509,67.4215774536133,144.526382446289,191.727905273438,0.990204095840454,11585.8486328125,0,0.011428571306169,296.868560791016,1
"PGM","342",7,"342_7",144692.07,9632682.16,"PFlog","115.51",57.755,1,-48.1967285990671,-3.3180081385899,100053.8671875,1996.669921875,1039.55493164062,0,1085.31420898438,0,0,120,144.402954101562,192.082290649414,1,5956.0009765625,0,0,300,1
"PGM","342",8,"342_8",151487.02,9634929.69,"PFlog","189.9",94.95,1,-48.13559238057,-3.29790187904043,92913.234375,1023.92413330078,106.440887451172,0,653.085510253906,0.0538775511085987,0,110,143.077377319336,192.294815063477,0.998367369174957,11585.8486328125,0,0.00163265306036919,299.552642822266,1
"PGM","342",9,"342_9",146653.86,9637592.21,"PFlogbur","268.73",134.365,1,-48.1789556747267,-3.27371279345682,96577.640625,1490.00708007812,177.678405761719,0,143.576141357422,0.174693882465363,0,92.4418563842773,144.773315429688,191.667327880859,0.986938774585724,11585.8486328125,0,0.426122456789017,183.224487304688,1
"PGM","358",1,"358_1",255383.67,9635579.5,"MA","0",0,0,-47.2013781720935,-3.29454590746839,36426.6328125,2053.3193359375,597.729736328125,0.111111111938953,126.987442016602,0.102857142686844,0,180.119171142578,131.676986694336,197.350784301758,0.687346935272217,37315.8203125,6.22222232818604,0.513469398021698,22.064489364624,0
"PGM","358",10,"358_10",258906.73,9634103.55,"REF","0",0,0,-47.1697174475132,-3.30795906290545,39444.59765625,1198.01379394531,184.15104675293,0,0,0,0,109.84644317627,131.030288696289,198.187347412109,0.00326530612073839,37315.8203125,0,0.00244897953234613,0.553469359874725,0
"PGM","358",11,"358_11",256148.07,9637236.59,"PFlogbur","166.84",83.42,1,-47.19446975223,-3.27958050010421,35349.68359375,1162.73974609375,988.380432128906,0,24.9593296051025,0.136326536536217,0,144.695022583008,132.319442749023,196.002136230469,0.675102055072784,37315.8203125,7.22222232818604,0.361632645130157,24.7240810394287,0
"PGM","358",2,"358_2",257229.47,9633424.74,"REF","0",0,0,-47.1848180290462,-3.3140625052029,39205.6875,399.335418701172,225.670104980469,0,0,0,0,91.9638977050781,130.786346435547,198.864547729492,0.11591836810112,37315.8203125,0,0.0571428574621677,17.3730621337891,0
